Артикул,Название товара,Ссылка,Цена,Цена со скидкой,Бренд
511294,"Сыр Bonfesto Моцарелла для пиццы 40%, 250г",https://online.metro-cc.ru/products/mocarella-bonfesto-dlya-piccy-45-250g-bzmzh,286,259,BONFESTO
213129,"Сыр Кабош Perla Di Latte Intensiva полутвердый колотый 50%, 100г",https://online.metro-cc.ru/products/100g-syr-perla-di-latte-intensiva-50-kabosh-kol-bzmzh,249,179,КАБОШ
270988,"Сыр Mozer Камамбер для гриля 50%, 100г",https://online.metro-cc.ru/products/syr-mozer-kamamber-dlya-grilya-50-100g,229,189,MOZER
227461,"Сыр Schonfeld Маасдам полутвердый 45%, 200г",https://online.metro-cc.ru/products/syr-schonfeld-maasdam-45-200g,319,299,SCHONFELD
221584,"METRO Chef Сыр твердый швейцарский 50%, 200г",https://online.metro-cc.ru/products/200g-syr-tverdyy-50-metro-chef-shveytsarskiy-bzmzh,729,579,METRO CHEF
228619,"Сыр Schonfeld Гауда полутвердый нарезка 45%, 125г",https://online.metro-cc.ru/products/125g-syr-gauda-45-schonfeld-narezka-bzmzh,187,179,SCHONFELD
110173,"Сыр Schonfeld Швейцарский Чеддер полутвердый нарезка 53%, 125г",https://online.metro-cc.ru/products/syr-cheddar-schonfeld-narezka-53-125g-bzmzh,509,399,SCHONFELD
262619,"Сыр Dolce Granto Platinum пармезан 40%, ~200г",https://online.metro-cc.ru/products/200g-syr-parmezan-40-dolce-granto-platinum-bzmzh,699.8,559.8,DOLCE
238523,"Сыр Laime Diamond Пармезан твердый 40%, 180г",https://online.metro-cc.ru/products/syr-parmezan-laime-diamond-40-180g,579,449,LAIME
124474,"Сыр Dolce Deluxe Пармезан твердый 34%, 200г",https://online.metro-cc.ru/products/200g-34-parmezan-dolce-deluxe-9m-bzmzh,419,329,DOLCE
219570,"Сыр Эконива Durr Zeller твердый 55%, ~850г",https://online.metro-cc.ru/products/850g-syr-55-dyurr-tseller-ekoniva-6-mes-vyderzh-bzmzh,1546.15,1495.15,ЭКОНИВА
96973,"Сыр President La Brique с белой плесенью мягкий 45%, 200г",https://online.metro-cc.ru/products/myagkij-president-s-beloj-la-brique-45-bzmzh-200-g,619,499,PRESIDENT
111787,"METRO Chef Сыр с голубой плесенью 50%, 100г",https://online.metro-cc.ru/products/metro-chef-s-goluboj-50-100g,237,199,METRO CHEF
248711,"Сыр Dorblu Chef Mix с голубой плесенью тертый 56%, 100г",https://online.metro-cc.ru/products/100g-syr-56-dorblu-chef-mix-s-goluboy-plesenyu-bzmzh,179,169,DORBLU
241695,"Сыр Кабош Maestro Battista Maturo твердый колотый 50%, 100г",https://online.metro-cc.ru/products/100g-syr-maestro-battista-maturo-50-kabosh-kolotyy-bzmzh,241,179,КАБОШ
211346,"Сыр Mozer Камамбертли с белой плесенью 50%, 100г",https://online.metro-cc.ru/products/100g-syr-s-beloy-plesenyu-kamambertli-50-mozer-bzmzh,257,209,MOZER
270990,"Сыр Mozer Тартуфо с белой плесенью и трюфелем 50%, 100г",https://online.metro-cc.ru/products/syr-mozer-tartufo-s-beloy-plesenyu-i-tryufelem-50-100g,239,199,MOZER
221579,"METRO Chef Сыр чеддар швейцарский 50%, 200г",https://online.metro-cc.ru/products/200g-syr-cheddar-50-metro-chef-shveytsarskiy-bzmzh,549,529,METRO CHEF
241697,"Сыр Кабош Пармезан твердый колотый 40%, 100г",https://online.metro-cc.ru/products/100g-syr-parmezan-40-kabosh-kolotyy-bzmzh,222,149,КАБОШ
228616,"Сыр Schonfeld Швейцарский Чиз полутвердый 53%, 150г",https://online.metro-cc.ru/products/150g-syr-53-schonfeld-swiss-cheese-bzmzh,449,429,SCHONFELD
390227,"Сыр Ламбер полутвердый 50%, 230г",https://online.metro-cc.ru/products/lamber-50230g-bzmzh,319,279,ЛАМБЕР
40137,"Сыр Ламбер Классический полутвердый 50%, ~1кг",https://online.metro-cc.ru/products/lamber-v-bochonke-1kg-bzmzh,1199,0,ЛАМБЕР
13292,"Сыр Cooking Кремчиз мягкий 70%, 2.25кг",https://online.metro-cc.ru/products/cooking-kremchiz-225kg-bzmzh,1719,0,COOKING
255115,"METRO Chef Сыр российский сливочный 45%, ~1кг",https://online.metro-cc.ru/products/1kg-syr-rossiyskiy-45-metro-chef-slivochnyy-bzmzh,1069,0,METRO CHEF
81436,"Сыр творожный Виолетта сливочный 70%, 400г",https://online.metro-cc.ru/products/violetta-bez-zamenitelya-molochnyh-zhirov-400-g,329,0,ВИОЛЕТТА
13289,"Сыр Cooking Кремчиз мягкий 70%, 11кг",https://online.metro-cc.ru/products/cooking-kremchiz-11kg-bzmzh,6699,0,COOKING
240209,"Сыр творожный Profi Cheese 70%, 2.2кг",https://online.metro-cc.ru/products/22kg-syr-tvorozhnyy-70-profi-cheese-bzmzh,1219,0,PROFI CHEESE
